region_id,size_rank,region_name,region_type,state_name,state,metro,state_code_fips,municipal_code_fips,period_date,home_value
83519,986,58103,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,1/31/2009,162985.47
82933,1320,56560,zip,MN,MN,Moorhead,"Fargo, ND-MN",Clay County,1/31/2009,168273.69
83520,1490,58104,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,1/31/2009,210692.92
83515,2184,58078,zip,ND,ND,West Fargo,"Fargo, ND-MN",Cass County,1/31/2009,194320.64
83518,3450,58102,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,1/31/2009,173619.65
83489,13464,58047,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,1/31/2009,229042.77
82908,13962,56529,zip,MN,MN,Dilworth,"Fargo, ND-MN",Clay County,1/31/2009,164903.70
83492,20326,58051,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,1/31/2009,203991.52
83519,986,58103,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,2/28/2009,163411.21
82933,1320,56560,zip,MN,MN,Moorhead,"Fargo, ND-MN",Clay County,2/28/2009,168143.72
83520,1490,58104,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,2/28/2009,211015.33
83515,2184,58078,zip,ND,ND,West Fargo,"Fargo, ND-MN",Cass County,2/28/2009,194370.58
83518,3450,58102,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,2/28/2009,173669.78
83489,13464,58047,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,2/28/2009,231137.39
82925,13904,56549,zip,MN,MN,Hawley,"Fargo, ND-MN",Clay County,2/28/2009,186310.50
82908,13962,56529,zip,MN,MN,Dilworth,"Fargo, ND-MN",Clay County,2/28/2009,164469.83
83467,17971,58012,zip,ND,ND,Casselton,"Fargo, ND-MN",Cass County,2/28/2009,215166.46
83492,20326,58051,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,2/28/2009,203657.37
83519,986,58103,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,3/31/2009,163307.37
82933,1320,56560,zip,MN,MN,Moorhead,"Fargo, ND-MN",Clay County,3/31/2009,167753.39
83520,1490,58104,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,3/31/2009,211375.72
83515,2184,58078,zip,ND,ND,West Fargo,"Fargo, ND-MN",Cass County,3/31/2009,194521.09
83518,3450,58102,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,3/31/2009,173279.58
83489,13464,58047,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,3/31/2009,232695.61
82925,13904,56549,zip,MN,MN,Hawley,"Fargo, ND-MN",Clay County,3/31/2009,185885.47
82908,13962,56529,zip,MN,MN,Dilworth,"Fargo, ND-MN",Clay County,3/31/2009,164354.69
83467,17971,58012,zip,ND,ND,Casselton,"Fargo, ND-MN",Cass County,3/31/2009,215920.67
83492,20326,58051,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,3/31/2009,203577.56
83519,986,58103,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,4/30/2009,162974.69
82933,1320,56560,zip,MN,MN,Moorhead,"Fargo, ND-MN",Clay County,4/30/2009,167094.79
83520,1490,58104,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,4/30/2009,211011.67
83515,2184,58078,zip,ND,ND,West Fargo,"Fargo, ND-MN",Cass County,4/30/2009,194325.56
83518,3450,58102,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,4/30/2009,172482.91
83489,13464,58047,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,4/30/2009,234914.63
82925,13904,56549,zip,MN,MN,Hawley,"Fargo, ND-MN",Clay County,4/30/2009,185593.56
82908,13962,56529,zip,MN,MN,Dilworth,"Fargo, ND-MN",Clay County,4/30/2009,164203.76
83467,17971,58012,zip,ND,ND,Casselton,"Fargo, ND-MN",Cass County,4/30/2009,216465.29
83492,20326,58051,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,4/30/2009,202369.31
83519,986,58103,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,5/31/2009,162170.62
82933,1320,56560,zip,MN,MN,Moorhead,"Fargo, ND-MN",Clay County,5/31/2009,166180.53
83520,1490,58104,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,5/31/2009,209750.52
83515,2184,58078,zip,ND,ND,West Fargo,"Fargo, ND-MN",Cass County,5/31/2009,193450.06
83518,3450,58102,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,5/31/2009,172029.03
83489,13464,58047,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,5/31/2009,235657.32
82925,13904,56549,zip,MN,MN,Hawley,"Fargo, ND-MN",Clay County,5/31/2009,185151.40
82908,13962,56529,zip,MN,MN,Dilworth,"Fargo, ND-MN",Clay County,5/31/2009,164144.97
83467,17971,58012,zip,ND,ND,Casselton,"Fargo, ND-MN",Cass County,5/31/2009,217246.28
83492,20326,58051,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,5/31/2009,201125.58
83519,986,58103,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,6/30/2009,161025.39
82933,1320,56560,zip,MN,MN,Moorhead,"Fargo, ND-MN",Clay County,6/30/2009,165327.15
83520,1490,58104,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,6/30/2009,208137.42
83515,2184,58078,zip,ND,ND,West Fargo,"Fargo, ND-MN",Cass County,6/30/2009,192211.66
83518,3450,58102,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,6/30/2009,171947.91
83489,13464,58047,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,6/30/2009,235656.77
82925,13904,56549,zip,MN,MN,Hawley,"Fargo, ND-MN",Clay County,6/30/2009,184256.83
82908,13962,56529,zip,MN,MN,Dilworth,"Fargo, ND-MN",Clay County,6/30/2009,163893.88
83467,17971,58012,zip,ND,ND,Casselton,"Fargo, ND-MN",Cass County,6/30/2009,217013.06
83492,20326,58051,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,6/30/2009,199039.41
83519,986,58103,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,7/31/2009,160105.79
82933,1320,56560,zip,MN,MN,Moorhead,"Fargo, ND-MN",Clay County,7/31/2009,164190.47
83520,1490,58104,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,7/31/2009,207198.99
83515,2184,58078,zip,ND,ND,West Fargo,"Fargo, ND-MN",Cass County,7/31/2009,190833.16
83518,3450,58102,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,7/31/2009,172379.18
83489,13464,58047,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,7/31/2009,234627.19
82925,13904,56549,zip,MN,MN,Hawley,"Fargo, ND-MN",Clay County,7/31/2009,182635.87
82908,13962,56529,zip,MN,MN,Dilworth,"Fargo, ND-MN",Clay County,7/31/2009,162542.97
83467,17971,58012,zip,ND,ND,Casselton,"Fargo, ND-MN",Cass County,7/31/2009,215899.88
83492,20326,58051,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,7/31/2009,197365.11
83519,986,58103,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,8/31/2009,160032.89
82933,1320,56560,zip,MN,MN,Moorhead,"Fargo, ND-MN",Clay County,8/31/2009,162740.29
83520,1490,58104,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,8/31/2009,207680.37
83515,2184,58078,zip,ND,ND,West Fargo,"Fargo, ND-MN",Cass County,8/31/2009,190790.08
83518,3450,58102,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,8/31/2009,172908.15
83489,13464,58047,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,8/31/2009,233218.20
82925,13904,56549,zip,MN,MN,Hawley,"Fargo, ND-MN",Clay County,8/31/2009,180397.64
82908,13962,56529,zip,MN,MN,Dilworth,"Fargo, ND-MN",Clay County,8/31/2009,160601.10
83467,17971,58012,zip,ND,ND,Casselton,"Fargo, ND-MN",Cass County,8/31/2009,215409.89
83492,20326,58051,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,8/31/2009,196878.93
83519,986,58103,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,9/30/2009,160648.32
82933,1320,56560,zip,MN,MN,Moorhead,"Fargo, ND-MN",Clay County,9/30/2009,161178.73
83520,1490,58104,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,9/30/2009,209102.42
83515,2184,58078,zip,ND,ND,West Fargo,"Fargo, ND-MN",Cass County,9/30/2009,191540.43
83518,3450,58102,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,9/30/2009,173405.10
83489,13464,58047,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,9/30/2009,231588.14
82925,13904,56549,zip,MN,MN,Hawley,"Fargo, ND-MN",Clay County,9/30/2009,178322.13
82908,13962,56529,zip,MN,MN,Dilworth,"Fargo, ND-MN",Clay County,9/30/2009,158277.15
83467,17971,58012,zip,ND,ND,Casselton,"Fargo, ND-MN",Cass County,9/30/2009,215200.93
83492,20326,58051,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,9/30/2009,197634.90
83519,986,58103,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,10/31/2009,161289.06
82933,1320,56560,zip,MN,MN,Moorhead,"Fargo, ND-MN",Clay County,10/31/2009,159851.31
83520,1490,58104,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,10/31/2009,210234.47
83515,2184,58078,zip,ND,ND,West Fargo,"Fargo, ND-MN",Cass County,10/31/2009,192371.07
83518,3450,58102,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,10/31/2009,173239.62
83489,13464,58047,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,10/31/2009,230959.31
82925,13904,56549,zip,MN,MN,Hawley,"Fargo, ND-MN",Clay County,10/31/2009,176657.75
82908,13962,56529,zip,MN,MN,Dilworth,"Fargo, ND-MN",Clay County,10/31/2009,156430.66
83467,17971,58012,zip,ND,ND,Casselton,"Fargo, ND-MN",Cass County,10/31/2009,215812.38
83492,20326,58051,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,10/31/2009,199185.03
83519,986,58103,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,11/30/2009,161200.04
82933,1320,56560,zip,MN,MN,Moorhead,"Fargo, ND-MN",Clay County,11/30/2009,158931.31
83520,1490,58104,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,11/30/2009,210774.83
83515,2184,58078,zip,ND,ND,West Fargo,"Fargo, ND-MN",Cass County,11/30/2009,192406.60
83518,3450,58102,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,11/30/2009,172070.11
83489,13464,58047,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,11/30/2009,229913.27
82925,13904,56549,zip,MN,MN,Hawley,"Fargo, ND-MN",Clay County,11/30/2009,175332.61
82908,13962,56529,zip,MN,MN,Dilworth,"Fargo, ND-MN",Clay County,11/30/2009,154964.56
83467,17971,58012,zip,ND,ND,Casselton,"Fargo, ND-MN",Cass County,11/30/2009,215571.03
83492,20326,58051,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,11/30/2009,199872.10
83519,986,58103,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,12/31/2009,161066.59
82933,1320,56560,zip,MN,MN,Moorhead,"Fargo, ND-MN",Clay County,12/31/2009,158183.78
83520,1490,58104,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,12/31/2009,210442.78
83515,2184,58078,zip,ND,ND,West Fargo,"Fargo, ND-MN",Cass County,12/31/2009,192187.84
83518,3450,58102,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,12/31/2009,170698.70
83489,13464,58047,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,12/31/2009,228748.41
82925,13904,56549,zip,MN,MN,Hawley,"Fargo, ND-MN",Clay County,12/31/2009,174356.19
82908,13962,56529,zip,MN,MN,Dilworth,"Fargo, ND-MN",Clay County,12/31/2009,153749.09
83467,17971,58012,zip,ND,ND,Casselton,"Fargo, ND-MN",Cass County,12/31/2009,217253.78
83492,20326,58051,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,12/31/2009,200941.83
83519,986,58103,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,1/31/2010,160800.43
82933,1320,56560,zip,MN,MN,Moorhead,"Fargo, ND-MN",Clay County,1/31/2010,157544.99
83520,1490,58104,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,1/31/2010,209999.24
83515,2184,58078,zip,ND,ND,West Fargo,"Fargo, ND-MN",Cass County,1/31/2010,192477.08
83518,3450,58102,zip,ND,ND,Fargo,"Fargo, ND-MN",Cass County,1/31/2010,169544.42
83489,13464,58047,zip,ND,ND,Horace,"Fargo, ND-MN",Cass County,1/31/2010,226998.70
82925,13904,56549,zip,MN,MN,Hawley,"Fargo, ND-MN",Clay County,1/31/2010,173648.61
82908,13962,56529,zip,MN,MN,Dilworth,"Fargo, ND-MN",Clay County,1/31/2010,152816.29
83467,17971,58012,zip,ND,ND,Casselton,"Fargo, ND-MN",Cass County,1/31/2010,219318.17
